player_id,Name,Season,1_WAR,G,PA,HR,R,RBI,SB,AVG,OBP,SLG,OPS,avg_exit_velocity,avg_launch_angle,barrel_pct,hard_hit_pct,avg_WAR_career
5417,Jose Altuve,2024,3.9,153,682,20,94,65,22,0.295,0.35,0.439,0.79,80.94414894,14.57643312,,0.073341094,3.9
29591,Colton Cowser,2024,3.9,153,561,24,77,69,9,0.242,0.321,0.447,0.768,83.74220315,17.53285714,,0.069710558,3.9
21479,Nico Hoerner,2024,3.9,151,641,7,86,48,31,0.273,0.335,0.373,0.708,80.87367865,16.12038015,,0.062222222,3.9
16252,Trea Turner,2024,3.8,121,539,21,88,62,19,0.295,0.338,0.469,0.807,83.18151775,15.14792176,,0.094481236,3.8
12552,Eugenio Suarez,2024,3.8,158,640,30,90,101,2,0.256,0.319,0.469,0.788,83.07413174,18.97610514,,0.077868852,3.8
25479,Brenton Doyle,2024,3.7,149,603,23,82,72,30,0.26,0.317,0.446,0.764,82.33505291,16.68428005,,0.079073831,3.7
24064,Ezequiel Tovar,2024,3.7,157,695,26,83,78,6,0.269,0.295,0.469,0.763,81.3734,22.29540918,,0.082800151,3.7
27479,Masyn Winn,2024,3.6,150,637,15,85,57,11,0.267,0.314,0.416,0.73,80.09561028,18.84047109,,0.072700297,3.6
30116,Seiya Suzuki,2024,3.5,132,585,21,74,73,16,0.283,0.366,0.482,0.848,83.42782486,22.32016925,,0.071482602,3.5
11493,Manny Machado,2024,3.5,152,643,29,77,105,11,0.275,0.325,0.472,0.797,85.64012739,21.25847458,,0.111940299,3.5
17919,Ian Happ,2024,3.5,153,657,25,89,86,13,0.243,0.341,0.441,0.782,83.47747642,19.95400943,,0.079279279,3.5
21711,Oneil Cruz,2024,3.5,146,599,21,72,76,22,0.259,0.324,0.449,0.773,86.54134078,13.41527778,,0.094753328,3.5
31347,Zach Neto,2024,3.5,155,602,23,70,77,30,0.249,0.318,0.443,0.761,83.04221364,12.77992278,,0.085141903,3.5
27647,Anthony Volpe,2024,3.5,160,689,12,90,60,28,0.243,0.293,0.364,0.657,81.98726766,15.90799257,,0.070343973,3.5
13066,Teoscar Hernandez,2024,3.4,154,652,33,84,99,12,0.272,0.339,0.501,0.84,83.16936737,18.99889135,,0.079045997,3.4
21618,Alec Bohm,2024,3.4,143,606,15,62,97,5,0.28,0.332,0.448,0.779,84.05112867,17.24887387,,0.109798775,3.4
20036,Isaac Paredes,2024,3.4,153,641,19,64,80,1,0.238,0.346,0.393,0.739,82.59771646,21.7654321,,0.07838559,3.4
16478,Kyle Schwarber,2024,3.3,150,692,38,110,104,5,0.248,0.366,0.485,0.851,87.01905388,17.8832021,,0.088541667,3.3
14551,Anthony Santander,2024,3.2,155,665,44,91,102,2,0.235,0.308,0.506,0.814,83.29700655,26.13657624,,0.093282283,3.2
7304,Salvador Perez,2024,3.2,158,652,27,58,104,0,0.271,0.33,0.456,0.786,84.85444802,20.47430407,,0.106479571,3.2
26368,JJ Bleday,2024,3.2,159,642,20,74,60,2,0.243,0.324,0.437,0.762,82.37604035,21.43379571,,0.073586367,3.2
24679,Brendan Donovan,2024,3.2,153,652,14,65,73,5,0.278,0.342,0.417,0.759,83.50787487,18.05387931,,0.085154484,3.2
25493,Joey Ortiz,2024,3.2,142,511,11,58,60,11,0.239,0.329,0.398,0.726,81.43069164,17.54466859,,0.072647702,3.2
19918,Daulton Varsho,2024,3.2,136,513,18,73,58,10,0.214,0.293,0.407,0.7,80.54047288,24.30737135,,0.073279714,3.2
17988,Tyler Stephenson,2024,3.1,138,515,19,69,66,1,0.258,0.338,0.444,0.782,84.24435484,15.32258065,,0.080118694,3.1
9777,Nolan Arenado,2024,3.1,152,635,16,70,71,2,0.272,0.325,0.394,0.719,82.35026455,20.27619048,,0.079862438,3.1
13419,Christian Walker,2024,3,130,552,26,72,84,2,0.251,0.335,0.468,0.803,83.16165049,22.18424242,,0.088979592,3
23003,Yainer Diaz,2024,3,148,619,16,70,84,2,0.299,0.325,0.441,0.766,83.26272825,14.18327974,,0.116578014,3
20391,Luis Garcia Jr.,2024,3,140,528,18,58,70,22,0.282,0.318,0.444,0.762,83.05691275,11.9075067,,0.096871847,3
33333,Wyatt Langford,2024,3,134,557,16,74,74,19,0.253,0.325,0.415,0.74,83.58352113,19.6,,0.084759916,3
17338,Willi Castro,2024,3,158,635,12,89,60,14,0.247,0.331,0.385,0.717,80.67045977,17.51949541,,0.074031454,3
19566,Nathaniel Lowe,2024,2.9,140,565,16,62,69,2,0.265,0.361,0.401,0.762,82.96596026,15.33949802,,0.072182355,2.9
21523,Jonathan India,2024,2.9,151,637,15,84,58,13,0.248,0.357,0.392,0.75,81.86953125,17.26397919,,0.064135643,2.9
2396,Carlos Santana,2024,2.9,150,594,23,63,71,4,0.238,0.328,0.42,0.749,83.6605198,17.12222222,,0.082330097,2.9
26396,Josh Smith,2024,2.9,149,592,13,67,62,11,0.258,0.337,0.394,0.731,81.173875,16.57428215,,0.072899506,2.9
17548,Taylor Ward,2024,2.8,156,663,25,73,75,6,0.246,0.323,0.426,0.748,83.88367844,19.93673966,,0.074304539,2.8
12927,Brandon Nimmo,2024,2.8,151,663,23,88,90,15,0.224,0.327,0.399,0.727,84.24331337,18.27363184,,0.084702908,2.8
19950,Andres Gimenez,2024,2.8,152,633,9,64,63,30,0.252,0.298,0.34,0.638,80.22423039,13.47718254,,0.067552182,2.8
26288,Adley Rutschman,2024,2.7,148,638,19,68,79,1,0.25,0.318,0.391,0.709,83.10444204,20.85822511,,0.082383229,2.7
21636,Jeremy Pena,2024,2.7,157,650,15,78,70,20,0.266,0.308,0.394,0.701,82.0848929,11.04396843,,0.094657131,2.7
14344,Matt Olson,2024,2.6,162,685,29,78,98,0,0.247,0.333,0.457,0.79,83.49241983,22.5872093,,0.086519767,2.6
19197,Will Smith,2024,2.6,128,544,20,77,75,1,0.248,0.327,0.433,0.76,82.88605991,24.52934407,,0.076120556,2.6
22186,Brice Turang,2024,2.6,155,619,7,72,57,50,0.254,0.316,0.349,0.665,80.52474542,17.72912424,,0.058735503,2.6
29931,Jacob Young,2024,2.6,150,521,3,75,36,33,0.256,0.316,0.331,0.648,77.87732116,9.840909091,,0.058508045,2.6
21558,Matt Vierling,2024,2.5,144,567,16,80,57,6,0.257,0.312,0.423,0.735,83.02879147,20.23578199,,0.078363914,2.5
22515,Heliot Ramos,2024,2.3,121,518,22,54,72,6,0.269,0.322,0.469,0.792,84.64680535,17.18870728,,0.08992629,2.3
18839,Josh Naylor,2024,2.3,152,633,31,84,108,6,0.243,0.32,0.456,0.776,83.97993311,13.29765886,,0.097907619,2.3
26319,Michael Busch,2024,2.2,152,567,21,73,65,2,0.248,0.335,0.44,0.775,83.41253521,18.71870605,,0.063220676,2.2
19238,Lourdes Gurriel Jr.,2024,2.2,133,553,18,72,75,7,0.279,0.322,0.435,0.757,81.95582751,17.81627907,,0.090174966,2.2
19326,Bryan Reynolds,2024,2.1,156,692,24,73,88,10,0.275,0.344,0.447,0.791,83.91532609,12.0184582,,0.089357065,2.1
19251,Pete Alonso,2024,2.1,162,695,34,91,88,3,0.24,0.329,0.459,0.788,83.44322917,19.190625,,0.086592179,2.1
15998,Cody Bellinger,2024,2.1,130,569,18,72,78,9,0.266,0.325,0.426,0.751,82.49780928,17.94723295,,0.072424651,2.1
18036,Jake Cronenworth,2024,2.1,155,656,17,72,83,5,0.241,0.324,0.39,0.714,82.0086781,19.18346774,,0.072016461,2.1
24729,Logan O'Hoppe,2024,2.1,136,522,20,64,56,2,0.244,0.303,0.409,0.712,83.65455927,17.96656535,,0.088207095,2.1
25816,Shea Langeliers,2024,2,137,534,29,58,80,4,0.224,0.288,0.45,0.739,84.81156156,19.73763118,,0.087969567,2
19290,Randy Arozarena,2024,2,154,648,20,77,60,20,0.219,0.332,0.388,0.72,83.38295905,15.80237154,,0.068965517,2
20308,Jake Meyers,2024,2,148,513,13,51,61,11,0.219,0.286,0.36,0.646,81.87194929,16.20126783,,0.077644607,2
16578,Yandy Diaz,2024,1.9,145,621,14,55,65,0,0.281,0.341,0.414,0.755,84.55314223,16.06387665,,0.100234926,1.9
25768,CJ Abrams,2024,1.9,138,602,20,79,65,31,0.246,0.314,0.433,0.747,81.63817967,17.06139315,,0.086404066,1.9
15112,Ryan McMahon,2024,1.9,153,645,20,68,65,4,0.242,0.325,0.397,0.722,83.14852273,17.775,,0.079750347,1.9
16997,Gleyber Torres,2024,1.8,154,665,15,80,63,4,0.257,0.33,0.378,0.709,82.87345216,21.14727955,,0.066686875,1.8
27899,Colt Keith,2024,1.8,148,556,13,54,61,7,0.26,0.309,0.38,0.689,83.32531328,17.67293233,,0.07887931,1.8
26294,Bryson Stott,2024,1.8,148,571,11,65,57,32,0.245,0.315,0.356,0.671,81.217723,19.7116061,,0.059055118,1.8
29622,Sal Frelick,2024,1.6,145,524,2,66,32,18,0.259,0.32,0.335,0.655,79.03453537,16.24343015,,0.044552272,1.6
27676,Vinnie Pasquantino,2024,1.5,131,554,19,64,97,1,0.262,0.315,0.446,0.76,85.3391106,14.7118451,,0.123916811,1.5
19913,Jesus Sanchez,2024,1.5,149,537,18,60,64,16,0.252,0.313,0.417,0.731,84.43347051,13.74657534,,0.107954545,1.5
26323,Spencer Steer,2024,1.5,158,656,20,74,92,25,0.225,0.319,0.402,0.721,82.16123399,20.36152955,,0.077798165,1.5
22275,Jake Burger,2024,1.4,137,579,29,68,76,1,0.25,0.301,0.46,0.76,85.06906667,16.02,,0.104497955,1.4
18373,Ryan Mountcastle,2024,1.4,124,507,13,54,63,3,0.271,0.308,0.425,0.733,83.06028461,18.29844961,,0.092555332,1.4
16939,Lane Thomas,2024,1.4,130,528,15,65,63,32,0.237,0.309,0.4,0.709,83.30220994,19.2369146,,0.07881568,1.4
29766,Zack Gelof,2024,1.4,138,547,17,60,49,25,0.211,0.27,0.362,0.632,82.0911811,12.53543307,,0.067405355,1.4
13590,Jesse Winker,2024,1.3,145,508,14,63,58,14,0.253,0.36,0.405,0.764,82.23278008,18.64591978,,0.067956989,1.3
18900,Leody Taveras,2024,1.2,151,529,12,59,44,23,0.229,0.289,0.352,0.641,81.3102489,18.47807018,,0.066760037,1.2
22715,Maikel Garcia,2024,1.2,157,626,7,84,58,37,0.231,0.281,0.332,0.614,84.28728121,15.14585764,,0.095672886,1.2
14221,Jorge Soler,2024,1.1,142,574,21,84,64,1,0.241,0.338,0.442,0.78,83.84167852,17.69985775,,0.079339509,1.1
18568,Luis Arraez,2024,1.1,150,672,4,83,46,9,0.314,0.346,0.392,0.739,82.18531646,18.36424958,,0.06498873,1.1
5235,Justin Turner,2024,1.1,139,539,11,59,55,0,0.259,0.354,0.383,0.737,81.43024554,23.75,,0.061452514,1.1
9218,Paul Goldschmidt,2024,1.1,154,654,22,70,65,11,0.245,0.302,0.414,0.716,84.58976793,18.93037975,,0.093278464,1.1
12856,George Springer,2024,1.1,145,614,19,74,56,16,0.22,0.303,0.371,0.674,81.47476077,11.85406699,,0.077974277,1.1
24262,Ceddanne Rafaela,2024,0.9,152,571,15,70,75,19,0.246,0.274,0.39,0.664,80.71976471,16.57176471,,0.078923767,0.9
17907,Brendan Rodgers,2024,0.8,135,539,13,67,54,1,0.267,0.314,0.407,0.721,82.62015707,12.36422977,,0.086898396,0.8
13185,Orlando Arcia,2024,0.8,157,602,17,50,46,2,0.218,0.271,0.354,0.625,82.59619165,12.31656442,,0.076986077,0.8
33189,Nolan Schanuel,2024,0.7,147,607,13,62,54,10,0.25,0.343,0.362,0.706,80.72204433,13.1908867,,0.050509165,0.7
27615,Alec Burleson,2024,0.6,152,595,21,71,78,9,0.269,0.314,0.42,0.735,83.1512959,15.11853448,,0.102621057,0.6
17027,Alex Verdugo,2024,0.6,149,621,13,74,61,2,0.233,0.291,0.356,0.647,82.13668076,13.40274841,,0.080416977,0.6
9847,Andrew McCutchen,2024,0.5,120,515,20,66,50,3,0.232,0.328,0.411,0.739,82.7327476,16.32907348,,0.064301552,0.5
11737,Nick Castellanos,2024,0.3,162,659,23,80,86,6,0.254,0.311,0.431,0.742,82.3014629,16.13465553,,0.085928262,0.3
16472,Rhys Hoskins,2024,0.2,131,517,26,59,82,3,0.214,0.303,0.419,0.722,82.90194903,20.54272864,,0.065767974,0.2
13145,Josh Bell,2024,-0.1,145,603,19,62,71,0,0.249,0.319,0.405,0.725,82.47118227,15.60960591,,0.085774059,-0.1
26197,Andrew Vaughn,2024,-0.2,149,619,19,55,70,2,0.246,0.297,0.402,0.699,84.17590643,20.4225844,,0.094262295,-0.2
19287,Adolis Garcia,2024,-0.2,154,637,25,68,85,11,0.224,0.284,0.4,0.684,84.22132353,17.85714286,,0.085681645,-0.2
17901,Andrew Benintendi,2024,-0.3,135,522,20,50,64,3,0.229,0.289,0.396,0.685,81.95275035,20.83966245,,0.06974507,-0.3
17982,Ty France,2024,-0.8,140,535,13,46,51,1,0.234,0.305,0.365,0.67,83.54862385,18.00917431,,0.085849057,-0.8
21897,Christopher Morel,2024,-1,152,611,21,56,60,8,0.196,0.288,0.346,0.634,83.69303338,16.15652174,,0.076243981,-1
19600,Bryan De La Cruz,2024,-1.2,149,622,21,61,68,5,0.233,0.271,0.384,0.654,83.60910152,16.96627907,,0.084766094,-1.2
